,Classes,name,ingredients,ingredients_raw_str,servings,weights
57,hummus,Hummus,"['dried garbanzo beans', 'lemons%2c juice of', 'garlic cloves', 'salt', 'peanut butter', 'cumin', 'sugar']","['1   cup    dried garbanzo beans', '3       lemons, juice of (or 90 ml white vinegar)', '3       garlic cloves', '1   teaspoon    salt', '3   tablespoons    peanut butter', '2   teaspoons    cumin', '1   teaspoon    sugar']",10,"[236.588, '', 15, 4.92892, 44.3604, 9.85784, 4.92892]"
58,ice_cream,Cream,"['eggs', 'milk', 'cornstarch', 'sugar', 'vanilla']","['3       eggs', '3   cups    milk', '6   tablespoons    cornstarch', '6   tablespoons    sugar', '  vanilla']",10,"[150, 709.764, 88.7208, 88.7208, '']"
59,lasagna,Lasagna,"['lasagna noodles', 'lean ground beef', 'tomato sauce', 'green pepper', 'onions', 'sugar', 'garlic salt', 'oregano', 'pepper', 'cottage cheese', 'parmesan cheese', 'egg', 'parsley flakes', 'pepper', 'mozzarella cheese']","['10 -12       lasagna noodles', '1   lb    lean ground beef', '640   ml    tomato sauce', '1/4  cup    green pepper, chopped fine ', '2   tablespoons    onions, chopped fine ', '1   teaspoon    sugar', '1   teaspoon    garlic salt', '1/2  teaspoon    oregano', '  pepper, to taste ', '2   cups    cottage cheese', '1/2  cup    parmesan cheese, grated ', '1       egg', '1   tablespoon    parsley flakes', '  pepper, to taste ', '2   cups    mozzarella cheese, grated ']",8,"[200, 453.592, 640, 59.147, 29.5736, 4.92892, 4.92892, 2.46446, '', 473.176, 118.294, 50, 14.7868, '', 473.176]"
60,lobster_bisque,Lobster Bisque,"['lobster shells', 'onion', 'salt and pepper', 'water', 'lobsters', 'evaporated milk', 'butter', 'salt and pepper']","['', '2       skinless chicken thighs or 2       skinless chicken thighs', '1       onion, quartered ', '  salt and pepper', '4   cups    water', '', '1   lb   leftover cooked lobsters or 1   lb    canned lobster', '2   cans    evaporated milk', '1   tablespoon    butter', '  salt and pepper']",8,"['', 100, '', 946.352, 453.592, '', 14.7868, '']"
61,lobster_roll_sandwich,Lobster Roll Sandwich,"['mayonnaise', 'dijon mustard', 'celery', 'fresh lemon juice', 'old bay seasoning', 'lobster meat', 'lettuce leaves', 'rolls']","['1/2  cup    mayonnaise', '2   teaspoons    Dijon mustard', '1/3  cup    celery, diced ', '1   tablespoon    fresh lemon juice', '1/4  teaspoon    Old Bay Seasoning', '3   cups    lobster meat, cooked and cut into bite sized chunks ', '6       lettuce leaves', '6      hot dog rolls']",6,"[118.294, 9.85784, 78.86266666666666, 14.7868, 1.23223, 709.764, 30, 300]"
62,macaroni_and_cheese,Crock Pot Macaroni and Cheese,"['elbow macaroni', 'cheddar cheese', 'evaporated milk', 'milk', 'salt', 'pepper']","['8   ounces    elbow macaroni, cooked and drained ', '4   cups   shredded cheddar cheese (16 ounces)', '1 (12   ounce) can   evaporated milk', '1 1/2  cups    milk', '1   teaspoon    salt', '1/2  teaspoon    pepper']",4,"[226.796, 946.352, 340, 200, 4.92892, 2.46446]"
63,macarons,Macarons,"['confectioners%27 sugar', 'almond flour', 'egg whites', 'salt', 'granulated sugar', 'food coloring', 'bittersweet chocolate', 'heavy cream', 'unsalted butter', 'confectioners%27 sugar', 'salt', 'heavy cream', 'food coloring']","['', ""1 1/2  cups   sifted confectioners' sugar"", ""3/4  cup   sifted almond flour (such as Bob's Red Mill)"", '3       egg whites', '1   pinch    salt', '3   tablespoons    granulated sugar', '3   drops   gel food coloring', '', '4   ounces    bittersweet chocolate, chopped ', '1/2  cup    heavy cream', '', '1/2  cup    unsalted butter, softened  (1 stick)', ""2   cups    confectioners' sugar"", '1   pinch    salt', '2 -3   tablespoons    heavy cream', ' gel food coloring']",36,"['', 177.441, 50, '', 44.3604, '', 113.398, 118.294, 118.294, 473.176, '', -5, '']"
64,miso_soup,Miso,"['soybeans', 'water', 'sea salt', 'dried rice koji', 'sea salt']","['400   g   whole soybeans', '600   ml   filtered water', '150   g    sea salt', '300   g    dried rice koji', '2   teaspoons    sea salt (for preparation of fermenting vat)']",1,"[400, 600, 150, 300, 9.85784]"
65,mussels,Mussels,"['mussels', 'dry white wine', 'shallots', 'garlic', 'fresh parsley leaves', 'fresh thyme leaves', 'salt', 'pepper']","['3   lbs    mussels', '1   cup    dry white wine', '3       shallots, chopped ', '2   cloves    garlic, minced ', '1/3  cup    fresh parsley leaves, chopped ', '1/2  teaspoon    fresh thyme leaves or 1/4  teaspoon    dried thyme', '1/4  teaspoon    salt', '1/4  teaspoon    pepper']",6,"[1360, 236.588, '', 10, 78.86266666666666, 2.46446, 1.23223, 1.23223]"
66,nachos,Nachos,"['ground beef', 'onion', 'taco sauce', 'refried beans', 'cream of mushroom soup', 'taco seasoning', 'salt', 'velveeta cheese', 'tortilla chips', 'sour cream']","['1   lb    ground beef (or venison)', '1/4  cup    onion, diced ', '1   pint    taco sauce', '1 (16   ounce) can   refried beans (or try jalapeno refried beans for a kick)', '10 3/4  ounces    cream of mushroom soup', '1 (1 1/4  ounce) envelope   taco seasoning', '  salt', '2   cups    Velveeta cheese or 2   cups    cheddar cheese', '  tortilla chips', '  sour cream']",8,"[453.592, 59.147, 473.176, 450, 200, 28, '', 473.176, 30, '']"
