,Classes,vitamin_a_per_serving_mcg,vitamin_d_per_serving_mcg,vitamin_e_per_serving_mg,vitamin_c_per_serving_mg,thiamin_per_serving_mg,riboflavin_per_serving_mg,niacin_per_serving_mg,vitamin_b6_per_serving_mg,vitamin_b12_per_serving_mcg,folic_acid_per_serving_mcg,calcium_per_serving_mg,iron_per_serving_mg,protein_per_serving_g,zinc_per_serving_mg
15,ceviche,1543.0689095999999,31.0994015,1.6012273499999998,16.321165999999998,0.24855925999999998,0.39608298999999997,3.8188282649999996,0.6808904249999999,1.3348779999999998,2.125,75.25108900000001,5.7026767,24.576712399999998,1.40217449
16,cheesecake,385.92192524999996,0.3375,1.2963365,0.0,0.4519879205,0.5506399620000001,3.5001239125,0.0681753175,0.328127275,67.42757999999999,147.17321333333334,2.8499147,13.265912400000001,1.002771775
17,cheese_plate,107.69668554999996,0.17009700000000003,2.085607343333333,0.033270216666666665,0.022712377333333332,0.15633117666666663,0.16878342,0.028876564999999996,0.3118445,0.0,225.74122083333327,0.5244490500000001,8.527183318333332,1.3042446416666666
18,chicken_curry,12.095658157499999,0.0,0.475343183,0.9058130400000001,0.170009884875,0.2992411928,9.779015183,0.41860335372499996,0.45116729324999993,0.0,135.38787975,1.883388498,25.553547539999997,0.97158372375
19,chicken_quesadilla,814.4541899999999,1.0646460000000002,0.8221433,11.119636,0.09877549000000001,1.2018670399999998,1.80102615,0.57313443,3.075644,0.0,960.5472799999999,1.656116,56.626814100000004,5.8614676999999995
20,chicken_wings,6.027454229999999,0.0,0.013862591499999997,0.671566,0.001968490925,0.0035488288999999994,0.062569571825,0.013850257,0.0,0.0,27.737485749999998,0.327588467,0.08548593225,0.01598818725
21,chocolate_cake,38.023286,0.0,0.08889843333333333,1.6886356666666664,0.1900574853333333,0.07444855966666666,4.607023900000001,0.1322433033333333,0.0,0.0,57.948769999999996,1.9496049333333334,13.544750633333333,2.3883192
22,chocolate_mousse,257.991482625,0.17189596875000002,0.97630345,0.011250000000000001,0.01367620125,0.07464606875,0.05239477875,0.01609237625,0.369857725,0.1875,61.11435855,0.20816066950000003,2.7127404625,0.20404232074999998
23,churros,848.6977431,1.8000000000000003,2.697218672,19.5185104,0.1919017118,0.9656502244,3.1068423259999998,0.5604367786,0.182075862,3.5488223999999997,472.0376088,5.401912508000001,22.62587179,2.7929894699999998
24,clam_chowder,1079.1943017,1.1966470000000002,8.56432228,108.9584572,1.1976775029999998,1.565202491,13.465084197000001,1.2844692709999999,1.32735215,2.125,1163.0979280000001,12.99688404,48.55128132,7.54184907
25,club_sandwich,661.4149944000001,0.9950000000000001,1.1867664,1.4,1.5028867999999997,1.2578294399999999,15.79011624,1.02061472,4.052,0.0,706.874008,15.60584872,76.1256292,9.108294399999998
26,crab_cakes,9587.84797212,0.43480945,4.347502599999999,148.46593974,1.021880046,2.108967548,14.992478514,1.8868201106000002,5.087687119999999,226.796,670.1033094000001,35.06886718399999,95.09109650399999,8.225044217999999
27,creme_brulee,273.01732809999993,0.7867668333333334,3.739245333333332,3.3854275,0.3994081346666667,0.4940011188333332,1.3254576443333335,0.30535546790000007,1.3044014950000002,0.0,261.69031436666666,2.2860619090000007,21.002874603,3.464542305333333
